Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\PiCarHatV4\Project Outputs for PiCarHatV4\Pick Place for SmallHat_V4.csv

========================================================================================================================
File Design Information:

Date:       14/06/25
Time:       17:19
Revision:   55cc0a54fd16819d6bd5a8a5cfa1ea9b0cc36e61
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description","Ref-X(mil)","Ref-Y(mil)","Pad-X(mil)","Pad-Y(mil)","Part Number","JLCPCB Part #"
"J10","B2B-PH-SM4-TB(LF)(SN)","TopLayer","FP-B2B-PH-SM4-TB_LF_SN-MFG","1850.000mil","1774.291mil","180","1x2P 2P PH Tin 2 -25?~+85? 2A 1 2mm Brass Alloy Standing paste SMD,P=2mm Wire To Board Connector ROHS","1850.000mil","1730.000mil","1889.370mil","1818.583mil","B2B-PH-SM4-TB","C160352"
"C8","220uF","TopLayer","RVT1A221M0605-Footprint-1","640.000mil","1615.590mil","270","220uF 10V 90mA@120Hz ±20% SMD, D6.3xL5.4mm Aluminum Electrolytic Capacitors - SMD ROHS","640.000mil","1716.180mil","640.000mil","1716.180mil","RVT1A221M0605","C3345"
"VR2","3362P-1-103LF","TopLayer","BOUR-3362P","2125.000mil","651.378mil","0","±10% ±100ppm/? 500mW 10kO Plugin-3P,7x6.6mm Potentiometers, Variable Resistors ROHS","2125.000mil","600.000mil","2025.000mil","601.378mil","3362P-1-103LF","C58159"
"S1","SS-12M11G3","TopLayer","SS-12M11G5-Footprint-1","145.000mil","559.961mil","270","Horizontal Plug 6A Single Pole Double Throw (SPDT) 120V 120V 6A 10000 times Black Plugin Slide Switches ROHS","145.000mil","745.000mil","145.000mil","745.000mil","SS-12M11G3","C2879832"
"RN2","4D03WGJ0101T5E","TopLayer","4D03WGJ0101T5E-Footprint-1","1490.750mil","479.565mil","0","4 ±5% 100O 62.5mW ±200ppm/? 0603x4 Resistor Networks, Arrays ROHS","1443.510mil","444.130mil","1443.510mil","444.130mil","4D03WGJ0101T5E","C25506"
"R16","2k","TopLayer","RESC1608X55X25LL10T15","1945.000mil","530.000mil","270","100mW Thick Film Resistors 75V ±100ppm/? ±1% 2kO 0603 Chip Resistor - Surface Mount ROHS","1945.000mil","530.000mil","1945.000mil","555.591mil","RC0603FR-072KL","C22975"
"LED4","KT-0603R","TopLayer","XL-1608SURC-06-Footprint-1","585.135mil","83.520mil","270","-40?~+85? Red 0603 LED Indication - Discrete ROHS","585.000mil","115.000mil","585.000mil","115.000mil","KT-0603R","C2286"
"LED3","KT-0603R","TopLayer","XL-1608SURC-06-Footprint-1","499.865mil","83.527mil","270","-40?~+85? Red 0603 LED Indication - Discrete ROHS","499.730mil","115.007mil","499.730mil","115.007mil","KT-0603R","C2286"
"LED2","KT-0603R","TopLayer","XL-1608SURC-06-Footprint-1","414.865mil","83.527mil","270","-40?~+85? Red 0603 LED Indication - Discrete ROHS","414.730mil","115.007mil","414.730mil","115.007mil","KT-0603R","C2286"
"C17","100nF","TopLayer","FP-CC0805-0_85-IPC_B","703.473mil","895.000mil","0","50V 100nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","703.473mil","895.000mil","671.946mil","895.000mil","CC0805KRX7R9BB104","C1711"
"VR1","3362P-1-103LF","TopLayer","BOUR-3362P","2420.000mil","651.378mil","0","±10% ±100ppm/? 500mW 10kO Plugin-3P,7x6.6mm Potentiometers, Variable Resistors ROHS","2420.000mil","600.000mil","2320.000mil","601.378mil","3362P-1-103LF","C58159"
"U3","LM2596S-ADJ(UMW)","TopLayer","TS5B_L","360.945mil","1048.858mil","180","Step-down type Adjustable 40V 1.2V~37V 3A TO-263-5 DC-DC Converters ROHS","310.748mil","1048.858mil","545.000mil","915.000mil","LM2596S-ADJ(UMW)","C347423"
"R13","1.13k","TopLayer","RESC1609X50X30LL10T20","795.000mil","1115.000mil","270","100mW Thick Film Resistors 75V ±100ppm/? ±1% 1.13kO 0603 Chip Resistor - Surface Mount ROHS","795.000mil","1115.000mil","795.000mil","1137.638mil","CRCW06031K13FKEA","C137782"
"R1","3.74k","TopLayer","RESC1608X55X30LL15T15","795.000mil","1230.000mil","270","100mW Thick Film Resistors 75V ±100ppm/? ±1% 3.74kO 0603 Chip Resistor - Surface Mount ROHS","795.000mil","1230.000mil","795.000mil","1254.606mil","ERJ-3EKF3741V","C137728"
"LED1","KT-0603R","TopLayer","XL-1608SURC-06-Footprint-1","334.865mil","83.527mil","270","-40?~+85? Red 0603 LED Indication - Discrete ROHS","334.730mil","115.007mil","334.730mil","115.007mil","KT-0603R","C2286"
"D1","SS34","TopLayer","SS34-Footprint-1","743.390mil","1345.000mil","0","40V Independent Type 3A 550mV@3A SMA(DO-214AC) Schottky Diodes ROHS","656.780mil","1345.000mil","656.780mil","1345.000mil","SS34","C8678"
"J8","B4B-PH-SM4-TB(LF)(SN)","TopLayer","FP-B4B-PH-SM4-TB-MFG","1390.000mil","1389.291mil","180","2.0mm pitch/Disconnectable Insulation displacement and Crimp style connectors","1390.000mil","1345.000mil","1508.110mil","1433.583mil","B4B-PH-SM4-TB(LF)(SN)","C160354"
"J2","2.54-2*20P--PC104","BottomLayer","New_footprint_1","1279.528mil","2066.929mil","0","2.54mm 2.54mm Double Row 40P Brass Direct Insert 2x20P Plugin,P=2.54mm Female Headers ROHS","1279.528mil","2066.929mil","329.528mil","2016.929mil","2.54-2*20P??PC104","C35165"
"RN1","4D03WGJ0103T5E","TopLayer","4D03WGJ0103T5E-Footprint-1","815.435mil","430.750mil","90","4 ±5% 10kO 62.5mW ±200ppm/? 0603x4 Resistor Networks, Arrays ROHS","850.870mil","383.510mil","850.870mil","383.510mil","4D03WGJ0103T5E","C29718"
"C15","100nF","TopLayer","FP-CC0805-0_85-IPC_B","690.000mil","1865.000mil","0","50V 100nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","690.000mil","1865.000mil","658.473mil","1865.000mil","CC0805KRX7R9BB104","C1711"
"C1","100nF","TopLayer","FP-CC0805-0_85-IPC_B","1310.000mil","1100.000mil","180","50V 100nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","1310.000mil","1100.000mil","1341.527mil","1100.000mil","CC0805KRX7R9BB104","C1711"
"C2","10uF","TopLayer","FP-GRM21B-0_15-MFG","1300.000mil","1010.000mil","180","25V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","1300.000mil","1010.000mil","1337.402mil","1010.000mil","GRM21BR61E106KA73L","C15850"
"C9","10nF","TopLayer","CAPC2013X100X50NL20T25","870.000mil","1735.000mil","0","50V 10nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","870.000mil","1735.000mil","838.504mil","1735.000mil","C0805F103K5RACTU","C1710"
"C10","100nF","TopLayer","FP-CC0805-0_85-IPC_B","950.000mil","1305.000mil","270","50V 100nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","950.000mil","1305.000mil","950.000mil","1336.527mil","CC0805KRX7R9BB104","C1711"
"C11","100nF","TopLayer","FP-CC0805-0_85-IPC_B","870.000mil","1830.000mil","180","50V 100nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","870.000mil","1830.000mil","901.527mil","1830.000mil","CC0805KRX7R9BB104","C1711"
"C12","10uF","TopLayer","FP-GRM21B-0_15-MFG","1065.000mil","1615.000mil","0","25V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","1065.000mil","1615.000mil","1027.598mil","1615.000mil","GRM21BR61E106KA73L","C15850"
"C13","1uF","TopLayer","CAPC2013X140X50LL20T25","880.000mil","1475.000mil","270","50V 1uF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","880.000mil","1475.000mil","880.000mil","1502.559mil","C0805C105K3RACTU","C28323"
"C14","100nF","TopLayer","FP-CC0805-0_85-IPC_B","875.000mil","1616.527mil","270","50V 100nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","875.000mil","1616.527mil","875.000mil","1648.054mil","CC0805KRX7R9BB104","C1711"
"J1","5-103817-2","TopLayer","TE_5-103817-2","1110.000mil","175.000mil","0","2.54mm Pin Headers ROHS=Gold 1kV 3A Direct Insert Policy 2.5mm 260? 3mm 12P -40?~+105? 6mm 2.54mm Triple row Brass 3x4P Plugin,P=2.54mm Pin Headers ROHS=2.54mm Pin Headers ROHS","1110.000mil","175.000mil","960.000mil","275.000mil","TSW-104-07-L-T","C32713291"
"J3","B4B-PH-SM4-TB(LF)(SN)","TopLayer","FP-B4B-PH-SM4-TB-MFG","1390.000mil","1774.291mil","180","2.0mm pitch/Disconnectable Insulation displacement and Crimp style connectors","1390.000mil","1730.000mil","1508.110mil","1818.583mil","B4B-PH-SM4-TB(LF)(SN)","C160354"
"J4","B4B-PH-SM4-TB(LF)(SN)","TopLayer","FP-B4B-PH-SM4-TB-MFG","2310.000mil","1774.291mil","180","2.0mm pitch/Disconnectable Insulation displacement and Crimp style connectors","2310.000mil","1730.000mil","2428.110mil","1818.583mil","B4B-PH-SM4-TB(LF)(SN)","C160354"
"J5","B4B-PH-SM4-TB(LF)(SN)","TopLayer","FP-B4B-PH-SM4-TB-MFG","2310.000mil","995.709mil","180","2.0mm pitch/Disconnectable Insulation displacement and Crimp style connectors","2310.000mil","951.417mil","2428.110mil","1040.000mil","B4B-PH-SM4-TB(LF)(SN)","C160354"
"J6","B4B-PH-SM4-TB(LF)(SN)","TopLayer","FP-B4B-PH-SM4-TB-MFG","2310.000mil","1389.291mil","180","2.0mm pitch/Disconnectable Insulation displacement and Crimp style connectors","2310.000mil","1345.000mil","2428.110mil","1433.583mil","B4B-PH-SM4-TB(LF)(SN)","C160354"
"J7","5-103817-2","TopLayer","TE_5-103817-2","1530.000mil","175.000mil","0","2.54mm Pin Headers ROHS=Gold 1kV 3A Direct Insert Policy 2.5mm 260? 3mm 12P -40?~+105? 6mm 2.54mm Triple row Brass 3x4P Plugin,P=2.54mm Pin Headers ROHS=2.54mm Pin Headers ROHS","1530.000mil","175.000mil","1380.000mil","275.000mil","TSW-104-07-L-T","C32713291"
"PTH1","Mounting Hole (2.7/6 mm)","TopLayer","New_footprint_1","2421.260mil","137.795mil","0","DO NOT PLACE","2470.748mil","137.795mil","2421.260mil","137.795mil","",""
"PTH2","Mounting Hole (2.7/6 mm)","TopLayer","New_footprint_1","137.795mil","137.795mil","0","DO NOT PLACE","80.748mil","-769.252mil","137.795mil","137.795mil","",""
"PTH3","Mounting Hole (2.7/6 mm)","TopLayer","New_footprint_1","137.795mil","2066.929mil","0","DO NOT PLACE","80.748mil","1110.748mil","137.795mil","2066.929mil","",""
